Service ID,Customer ID,Count_serv,Quarter_serv,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Status ID,Count_status,Quarter_status,Satisfaction Score,Customer Status,Churn Label,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason,Count_demo,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Location ID,Count_loc,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,ID,Population,segment
IJKDQVSWH3522,8779-QRDMV,1,Q3,No,0,1,nan,No,0.0,No,Yes,DSL,8,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,39.65,0.0,20,0.0,59.65,SWSORB1252,1,Q3,3,Churned,Yes,1,91,5433,Competitor,Competitor offered more data,1,Male,78,No,Yes,No,No,0,OXCZEW7397,1,United States,California,Los Angeles,90022,"34.02381, -118.156582",34.02381,-118.156582,21,350.0,habitual_defaulter
BFKMZJAIE2285,7495-OOKFY,1,Q3,Yes,1,8,Offer E,Yes,48.85,Yes,Yes,Fiber Optic,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,80.65,633.3,0.0,0,390.8,1024.1,SNAEQA8572,1,Q3,3,Churned,Yes,1,69,5302,Competitor,Competitor made better offer,1,Female,74,No,Yes,Yes,Yes,1,FCCECI8494,1,United States,California,Los Angeles,90063,"34.044271, -118.185237",34.044271,-118.185237,54,350.0,critical
EIMVJQBMT7187,1658-BYGOY,1,Q3,No,0,18,Offer D,Yes,11.33,Yes,Yes,Fiber Optic,52,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,1752.55,45.61,0,203.94,1910.88,LMBQNN3714,1,Q3,2,Churned,Yes,1,81,3179,Competitor,Competitor made better offer,1,Male,71,No,Yes,No,Yes,3,HEHUQY7254,1,United States,California,Los Angeles,90065,"34.108833, -118.229715",34.108833,-118.229715,56,350.0,habitual_defaulter
EROZQXDUU4979,4598-XLKNJ,1,Q3,Yes,1,25,Offer C,Yes,19.76,No,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5,13.43,0,494.0,2995.07,VRZYZI9978,1,Q3,2,Churned,Yes,1,88,5337,Dissatisfaction,Limited range of services,1,Female,78,No,Yes,Yes,Yes,1,WIUHRF2613,1,United States,California,Inglewood,90303,"33.936291, -118.332639",33.936291,-118.332639,100,350.0,critical
GEEYSJUHY6991,4846-WHAFZ,1,Q3,Yes,1,37,Offer C,Yes,6.33,Yes,Yes,Fiber Optic,14,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,2868.15,0.0,0,234.21,3102.36,FDNAKX1688,1,Q3,2,Churned,Yes,1,67,2793,Price,Extra data charges,1,Female,80,No,Yes,Yes,Yes,1,CFEZBF4415,1,United States,California,Whittier,90602,"33.972119, -118.020188",33.972119,-118.020188,114,350.0,critical
UEHAPZRZX9455,4412-YLTKF,1,Q3,No,0,27,Offer C,Yes,3.33,Yes,Yes,Fiber Optic,18,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,0.0,10,89.91,2235.41,YZFIXL5823,1,Q3,1,Churned,Yes,1,95,4638,Competitor,Competitor had better devices,1,Female,72,No,Yes,No,Yes,1,CWMLHA1936,1,United States,California,Pico Rivera,90660,"33.989524, -118.089299",33.989524,-118.089299,127,350.0,critical
HKSJPZQQO3668,0390-DCFDQ,1,Q3,Yes,1,1,Offer E,Yes,15.28,No,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,0.0,0,15.28,85.73,KSGHEG1626,1,Q3,2,Churned,Yes,1,76,3964,Other,Don't know,1,Female,76,No,Yes,Yes,Yes,2,RMPDLY8613,1,United States,California,Los Alamitos,90720,"33.79499, -118.065591",33.79499,-118.065591,140,350.0,habitual_defaulter
YURPJGXZE2352,3445-HXXGF,1,Q3,Yes,6,58,Offer B,No,0.0,No,Yes,DSL,24,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,2651.2,40.95,0,0.0,2610.25,PABMTY8825,1,Q3,1,Churned,Yes,1,91,5444,Dissatisfaction,Service dissatisfaction,1,Male,66,No,Yes,Yes,No,0,AXYPBL9658,1,United States,California,Sierra Madre,91024,"34.168686, -118.057505",34.168686,-118.057505,169,350.0,habitual_defaulter
SGNKYLZPV6432,2656-FMOKZ,1,Q3,No,0,15,Offer D,Yes,44.07,Yes,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.45,1145.7,0.0,0,661.05,1806.75,YAMNBI7178,1,Q3,2,Churned,Yes,1,91,5717,Dissatisfaction,Limited range of services,1,Female,70,No,Yes,No,Yes,2,VFGAGY6957,1,United States,California,Pasadena,91106,"34.139402, -118.128658",34.139402,-118.128658,177,350.0,critical
CQIFHUNEW9871,2070-FNEXE,1,Q3,No,0,7,Offer E,Yes,26.95,No,Yes,Fiber Optic,18,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76.45,503.6,11.05,0,188.65,681.2,GIFMGB8144,1,Q3,2,Churned,Yes,1,81,4419,Price,Lack of affordable download/upload speed,1,Female,77,No,Yes,No,Yes,2,JSYCDZ4487,1,United States,California,Pasadena,91107,"34.159007, -118.087353",34.159007,-118.087353,178,350.0,habitual_defaulter
XIOWKBRNN4393,0094-OIFMO,1,Q3,No,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,UMEKHN2443,1,Q3,1,Churned,Yes,1,85,5980,Dissatisfaction,Product dissatisfaction,1,Female,78,No,Yes,No,Yes,1,TXLVMF7264,1,United States,California,North Hollywood,91605,"34.207295, -118.400022",34.207295,-118.400022,239,350.0,critical
XOEPPWMTO9182,9947-OTFQU,1,Q3,No,0,15,Offer D,Yes,29.11,No,Yes,Fiber Optic,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1074.3,0.0,0,436.65,1510.95,YIPBAY5152,1,Q3,1,Churned,Yes,1,86,4616,Competitor,Competitor had better devices,1,Male,65,No,Yes,No,No,0,ICTTCG9359,1,United States,California,Covina,91722,"34.097345, -117.906736",34.097345,-117.906736,248,350.0,habitual_defaulter
